feature,coefficient,abs_coef
drug_proximity,6.708998594572623,6.708998594572623
inner_distance,-4.769390830773883,4.769390830773883
contact_density_seq,-2.4922848155952404,2.4922848155952404
plddt_environment,-1.7128286765078031,1.7128286765078031
hbond,-1.689593645275903,1.689593645275903
charge,-1.5715263655008898,1.5715263655008898
rel_position,-1.5165186372850044,1.5165186372850044
conservation_blosum,-1.310145216908884,1.310145216908884
helix_propensity,-1.2554117311363484,1.2554117311363484
volume,1.2032849579431368,1.2032849579431368
homoplasy_alleles,1.0525205488383074,1.0525205488383074
hydrophobicity,-0.7051407005411386,0.7051407005411386
esm2_intolerance,-0.6062494612341282,0.6062494612341282
strand_propensity,0.3714039927976276,0.3714039927976276
plddt_score,-0.3086284690095828,0.3086284690095828
contact_density_3d,0.2049272475633981,0.2049272475633981
sasa_relative,-0.2004600093061916,0.2004600093061916
homoplasy_count,-0.1479549655141817,0.1479549655141817
