fpr,tpr
0.0,0.0
0.0,0.03125
0.0,0.125
0.00031655587211142766,0.125
0.00031655587211142766,0.25
0.0004748338081671415,0.25
0.0004748338081671415,0.28125
0.0007913896802785691,0.28125
0.0007913896802785691,0.3125
0.0014245014245014246,0.3125
0.0014245014245014246,0.34375
0.0015827793605571383,0.34375
0.0015827793605571383,0.40625
0.0017410572966128522,0.40625
0.0017410572966128522,0.4375
0.00205761316872428,0.4375
0.00205761316872428,0.46875
0.0033238366571699905,0.46875
0.0033238366571699905,0.5
0.0053814498258942705,0.5
0.0053814498258942705,0.53125
0.010446343779677113,0.53125
0.010446343779677113,0.65625
0.012503956948401392,0.65625
0.012503956948401392,0.6875
0.013928458372902817,0.6875
0.013928458372902817,0.71875
0.02342513453624565,0.71875
0.02342513453624565,0.75
0.03292181069958848,0.75
0.03292181069958848,0.78125
0.037037037037037035,0.78125
0.037037037037037035,0.8125
0.04510921177587844,0.8125
0.04510921177587844,0.84375
0.09195948084836973,0.84375
0.09195948084836973,0.875
0.10082304526748971,0.875
0.10082304526748971,0.90625
0.13327002215891104,0.90625
0.13327002215891104,0.9375
0.14371636593858816,0.9375
0.1440329218106996,0.9375
0.17268122823678378,0.9375
0.17268122823678378,0.96875
0.25546058879392214,0.96875
0.2557771446660336,0.96875
0.2613168724279835,0.96875
0.26163342830009495,0.96875
0.28284267173156064,0.96875
0.28315922760367207,0.96875
0.296454574232352,0.96875
0.29692940804051915,0.96875
0.29914529914529914,0.96875
0.29946185501741057,0.96875
0.31718898385565053,0.96875
0.31750553972776197,0.96875
0.3865147198480532,0.96875
0.3868312757201646,0.96875
0.43304843304843305,0.96875
0.43304843304843305,1.0
0.4874960430515986,1.0
0.48781259892371004,1.0
0.5606204495093384,1.0
0.5610952833175056,1.0
0.6081038303260525,1.0
0.608420386198164,1.0
0.6142766698322254,1.0
0.6145932257043368,1.0
0.6185501741057297,1.0
0.6190250079138968,1.0
0.6256726812282368,1.0
0.6259892371003483,1.0
0.6285216840772396,1.0
0.6288382399493511,1.0
0.6345362456473568,1.0
0.6350110794555239,1.0
0.6457739791073125,1.0
0.6460905349794238,1.0
0.6500474833808167,1.0
0.6506805951250396,1.0
0.6508388730610953,1.0
0.6511554289332067,1.0
0.6524216524216524,1.0
0.6527382082937638,1.0
0.6630262741373852,1.0
0.6633428300094967,1.0
0.665400443178221,1.0
0.6657169990503324,1.0
0.669832225387781,1.0
0.6703070591959481,1.0
0.6752136752136753,1.0
0.6755302310857867,1.0
0.6766381766381766,1.0
0.676954732510288,1.0
0.6817030705919594,1.0
0.6820196264640709,1.0
0.6829692940804052,1.0
0.6832858499525166,1.0
0.6877176321620766,1.0
0.688034188034188,1.0
0.6902500791389681,1.0
0.6905666350110795,1.0
0.6930990819879709,1.0
0.6934156378600823,1.0
0.7222222222222222,1.0
0.7225387780943336,1.0
0.7241215574548908,1.0
0.7244381133270023,1.0
0.7312440645773979,1.0
0.7315606204495093,1.0
0.7431149097815765,1.0
0.7434314656536879,1.0
0.7882241215574549,1.0
0.7885406774295664,1.0
0.7907565685343463,1.0
0.7910731244064577,1.0
0.7917062361506806,1.0
0.792022792022792,1.0
0.801994301994302,1.0
0.8023108578664134,1.0
0.8194048749604305,1.0
0.8198797087685976,1.0
0.8224121557454891,1.0
0.8227287116176005,1.0
0.828584995251662,1.0
0.8289015511237734,1.0
0.8504273504273504,1.0
0.8509021842355176,1.0
0.8537511870845205,1.0
0.8540677429566318,1.0
0.8686293130737576,1.0
0.8689458689458689,1.0
0.869420702754036,1.0
0.8697372586261475,1.0
0.8702120924343146,1.0
0.8876226654004432,1.0
0.8879392212725546,1.0
0.8909465020576132,1.0
0.8912630579297246,1.0
0.9169040835707503,1.0
0.9172206394428617,1.0
0.9230769230769231,1.0
0.9235517568850902,1.0
0.9238683127572016,1.0
0.9328901551123774,1.0
0.9332067109844887,1.0
0.9484013928458372,1.0
0.9487179487179487,1.0
0.9515669515669516,1.0
0.951883507439063,1.0
0.9558404558404558,1.0
0.9561570117125673,1.0
0.9654954099398544,1.0
0.9658119658119658,1.0
0.9666033554922444,1.0
0.9669199113643558,1.0
0.971826527382083,1.0
0.9721430832541944,1.0
0.9732510288065843,1.0
0.9735675846786958,1.0
0.9784742006964229,1.0
0.9787907565685343,1.0
0.9811649256093701,1.0
0.9814814814814815,1.0
0.9957264957264957,1.0
0.9960430515986072,1.0
1.0,1.0
